sample	pcr_result	m2	m5	m10	m20	m30	m50
nvrl-614	Positive	11809	11809	11809	11809	11809	11809
nvrl-616	Positive	11812	11812	11808	11748	11689	11665
nvrl-603	Positive	11811	11771	11662	11583	11583	11513
nvrl-605	Positive	11811	11768	11675	11580	11439	11368
nvrl-606	Positive	11769	11710	11665	11596	11583	11280
nvrl-608	Positive	11737	11673	11652	11583	11519	11382
nvrl-615	Negative	11414	11216	10820	6276*	1726*	30*
nvrl-610	Negative	11515	10934	10428	4618*	699*	0*
nvrl-609	Negative	11568	11289	9805	4349*	644*	0*
nvrl-607	Negative	11297	10631	8650	3183*	812*	0*
nvrl-617	Negative	11418	11104	9694	2074*	180*	0*
nvrl-611	Negative	11166	11097	10046	2088*	0*	0*
nvrl-604	Negative	11530	10390	7156*	1864*	289*	0*
nvrl-613	Negative	11187	10969	7855*	1160*	18*	0*
nvrl-612	Negative	11163	9564	3893*	0*	0*	0*
nvrl-641	Positive	9731	5848*	1653*	0*	0*	0*
nvrl-649	Positive	8186	2937*	523*	0*	0*	0*
nvrl-638	Positive	5959*	591*	0*	0*	0*	0*
nvrl-631	Positive	4087*	568*	12*	0*	0*	0*
nvrl-639	Positive	898*	0*	0*	0*	0*	0*
nvrl-628	Negative	0*	0*	0*	0*	0*	0*
nvrl-629	Negative	0*	0*	0*	0*	0*	0*
nvrl-630	Negative	0*	0*	0*	0*	0*	0*
nvrl-632	Negative	0*	0*	0*	0*	0*	0*
nvrl-633	Negative	0*	0*	0*	0*	0*	0*
nvrl-634	Negative	0*	0*	0*	0*	0*	0*
nvrl-635	Negative	0*	0*	0*	0*	0*	0*
nvrl-636	Negative	0*	0*	0*	0*	0*	0*
nvrl-637	Positive	0*	0*	0*	0*	0*	0*
nvrl-640	Negative	0*	0*	0*	0*	0*	0*
nvrl-642	Inconclusive (Borderline)	0*	0*	0*	0*	0*	0*
nvrl-648	Positive	0*	0*	0*	0*	0*	0*
