genbank_accession	genbank_accession_rev	strain	date	region	country	division	location	length	host	lineage	release_date	update_date	sra_accessions	authors	institution
KY703931	KY703931.1	KY703931	2015-09-19	North America	Nicaragua	Managua		11698	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703932	KY703932.1	KY703932	2015-08-19	North America	Nicaragua	Managua		11591	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703933	KY703933.1	KY703933	2015-10-09	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703934	KY703934.1	KY703934	2015-10-27	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703935	KY703935.1	KY703935	2015-12-02	North America	Nicaragua	Managua		11827	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703936	KY703936.1	KY703936	2015-10-07	North America	Nicaragua	Managua		11295	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703937	KY703937.1	KY703937	2015-10-15	North America	Nicaragua	Managua		11959	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703938	KY703938.1	KY703938	2015-02-18	North America	Nicaragua	Managua		11959	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703939	KY703939.1	KY703939	2015-12-01	North America	Nicaragua			11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703940	KY703940.1	KY703940	2014-10-28	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703941	KY703941.1	KY703941	2015-10-28	North America	Nicaragua	Carazo		10959	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703942	KY703942.1	KY703942	2015-08-04	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703943	KY703943.1	KY703943	2015-10-10	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703944	KY703944.1	KY703944	2015-10-03	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703945	KY703945.1	KY703945	2015-10-02	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703946	KY703946.1	KY703946	2015-10-12	North America	Nicaragua	Managua		12123	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703947	KY703947.1	KY703947	2014-11-19	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703948	KY703948.1	KY703948	2015-08-18	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703949	KY703949.1	KY703949	2015-01-15	North America	Nicaragua	Managua		11959	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703950	KY703950.1	KY703950	2014-11-25	North America	Nicaragua	Managua		11952	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703951	KY703951.1	KY703951	2015-08-05	North America	Nicaragua	Managua		11611	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703952	KY703952.1	KY703952	2015-09-03	North America	Nicaragua	Managua		12035	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703953	KY703953.1	KY703953	2015-10-06	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703954	KY703954.1	KY703954	2014-11-05	North America	Nicaragua	Managua		11307	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703955	KY703955.1	KY703955	2015-08-17	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703956	KY703956.1	KY703956	2014-10-28	North America	Nicaragua	Managua		11634	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703957	KY703957.1	KY703957	2015-09-05	North America	Nicaragua	Managua		11999	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703958	KY703958.1	KY703958	2015-11-25	North America	Nicaragua	Managua		11775	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703959	KY703959.1	KY703959	2014-12-03	North America	Nicaragua	Managua		11306	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703960	KY703960.1	KY703960	2015-08-05	North America	Nicaragua	Managua		12136	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703961	KY703961.1	KY703961	2015-08-06	North America	Nicaragua	Managua		11571	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
KY703962	KY703962.1	KY703962	2015-10-01	North America	Nicaragua	Nuevo Segovia		11959	Homo sapiens	Asian and Caribbean	2017-04-01	2017-04-01		Shabman et al.	J. Craig Venter Institute
