genbank_accession	genbank_accession_rev	strain	date	region	country	division	location	length	host	lineage	release_date	update_date	sra_accessions	authors	institution
AFI-KNM-205	AFI-KNM-205	AFI-KNM-205	2025-01-15	Africa	Kenya	Lamu	Lamu East		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-KNM-210	AFI-KNM-210	AFI-KNM-210	2025-01-21	Africa	Kenya	Lamu	Lamu East		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-KNM-213	AFI-KNM-213	AFI-KNM-213	2025-02-06	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-KNM-264	AFI-KNM-264	AFI-KNM-264	2025-05-09	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-KNM-425	AFI-KNM-425	AFI-KNM-425	2026-03-09	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-08-08	2026-08-08		Mutai et al.	WRAIR-Africa
AFI-LAM-2226	AFI-LAM-2226	AFI-LAM-2226	2025-02-24	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2366	AFI-LAM-2366	AFI-LAM-2366	2025-05-13	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2388	AFI-LAM-2388	AFI-LAM-2388	2025-05-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2389	AFI-LAM-2389	AFI-LAM-2389	2025-05-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2444	AFI-LAM-2444	AFI-LAM-2444	2025-06-18	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2446	AFI-LAM-2446	AFI-LAM-2446	2025-06-18	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2450	AFI-LAM-2450	AFI-LAM-2450	2025-06-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2451	AFI-LAM-2451	AFI-LAM-2451	2025-06-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2452	AFI-LAM-2452	AFI-LAM-2452	2025-06-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2453	AFI-LAM-2453	AFI-LAM-2453	2025-06-19	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2455	AFI-LAM-2455	AFI-LAM-2455	2025-06-20	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2456	AFI-LAM-2456	AFI-LAM-2456	2025-06-23	Africa	Kenya	Lamu	Lamu East		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2463	AFI-LAM-2463	AFI-LAM-2463	2025-06-25	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2610	AFI-LAM-2610	AFI-LAM-2610	2025-08-20	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2612	AFI-LAM-2612	AFI-LAM-2612	2025-08-28	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2613	AFI-LAM-2613	AFI-LAM-2613	2025-08-29	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2614	AFI-LAM-2614	AFI-LAM-2614	2025-09-02	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2685	AFI-LAM-2685	AFI-LAM-2685	2025-10-09	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2726	AFI-LAM-2726	AFI-LAM-2726	2025-10-30	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2728	AFI-LAM-2728	AFI-LAM-2728	2025-10-30	Africa	Kenya	Lamu	Lamu East		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2786	AFI-LAM-2786	AFI-LAM-2786	2025-11-26	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LAM-2812	AFI-LAM-2812	AFI-LAM-2812	2026-01-06	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-08-08	2026-08-08		Mutai et al.	WRAIR-Africa
AFI-LAM-2825	AFI-LAM-2825	AFI-LAM-2825	2026-01-13	Africa	Kenya	Lamu	Lamu East		Homo sapiens	East-Central-South-African	2026-08-08	2026-08-08		Mutai et al.	WRAIR-Africa
AFI-LAM-2901	AFI-LAM-2901	AFI-LAM-2901	2026-03-09	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-08-08	2026-08-08		Mutai et al.	WRAIR-Africa
AFI-LAM-2954	AFI-LAM-2954	AFI-LAM-2954	2026-04-13	Africa	Kenya	Lamu	Lamu West		Homo sapiens	East-Central-South-African	2026-08-08	2026-08-08		Mutai et al.	WRAIR-Africa
AFI-LKN-053	AFI-LKN-053	AFI-LKN-053	2025-02-17	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-086	AFI-LKN-086	AFI-LKN-086	2025-03-10	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-088	AFI-LKN-088	AFI-LKN-088	2025-03-10	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-089	AFI-LKN-089	AFI-LKN-089	2025-03-10	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-097	AFI-LKN-097	AFI-LKN-097	2025-03-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-138	AFI-LKN-138	AFI-LKN-138	2025-05-07	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-139	AFI-LKN-139	AFI-LKN-139	2025-05-07	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-141	AFI-LKN-141	AFI-LKN-141	2025-05-08	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-144	AFI-LKN-144	AFI-LKN-144	2025-05-09	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-146	AFI-LKN-146	AFI-LKN-146	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-147	AFI-LKN-147	AFI-LKN-147	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-149	AFI-LKN-149	AFI-LKN-149	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-150	AFI-LKN-150	AFI-LKN-150	2025-05-12	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-152	AFI-LKN-152	AFI-LKN-152	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-153	AFI-LKN-153	AFI-LKN-153	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-154	AFI-LKN-154	AFI-LKN-154	2025-05-13	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-155	AFI-LKN-155	AFI-LKN-155	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-156	AFI-LKN-156	AFI-LKN-156	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-157	AFI-LKN-157	AFI-LKN-157	2025-05-14	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-160	AFI-LKN-160	AFI-LKN-160	2025-05-15	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-161	AFI-LKN-161	AFI-LKN-161	2025-05-15	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-162	AFI-LKN-162	AFI-LKN-162	2025-05-15	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-164	AFI-LKN-164	AFI-LKN-164	2025-05-16	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-166	AFI-LKN-166	AFI-LKN-166	2025-05-19	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-167	AFI-LKN-167	AFI-LKN-167	2025-05-19	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-169	AFI-LKN-169	AFI-LKN-169	2025-05-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-170	AFI-LKN-170	AFI-LKN-170	2025-05-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-171	AFI-LKN-171	AFI-LKN-171	2025-05-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-172	AFI-LKN-172	AFI-LKN-172	2025-05-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-173	AFI-LKN-173	AFI-LKN-173	2025-05-20	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-174	AFI-LKN-174	AFI-LKN-174	2025-05-21	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-175	AFI-LKN-175	AFI-LKN-175	2025-05-21	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-176	AFI-LKN-176	AFI-LKN-176	2025-05-21	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-177	AFI-LKN-177	AFI-LKN-177	2025-05-21	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-181	AFI-LKN-181	AFI-LKN-181	2025-05-22	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-182	AFI-LKN-182	AFI-LKN-182	2025-05-22	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-183	AFI-LKN-183	AFI-LKN-183	2025-05-23	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-184	AFI-LKN-184	AFI-LKN-184	2025-05-23	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-252	AFI-LKN-252	AFI-LKN-252	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-253	AFI-LKN-253	AFI-LKN-253	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-254	AFI-LKN-254	AFI-LKN-254	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-255	AFI-LKN-255	AFI-LKN-255	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
AFI-LKN-256	AFI-LKN-256	AFI-LKN-256	2025-06-18	Africa	Kenya	Mombasa	Likoni		Homo sapiens	East-Central-South-African	2026-01-27	2026-01-27		Mutai et al.	WRAIR-Africa
