core_id	header	length	N_count	pct_N	action	reason
AFI-KNM-205	hChikV/Kenya/AFI-KNM-205/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-KNM-210	hChikV/Kenya/AFI-KNM-210/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-KNM-213	hChikV/Kenya/AFI-KNM-213/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-KNM-264	hChikV/Kenya/AFI-KNM-264/2025	11696	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-KNM-425	hChikV/Kenya/AFI-KNM-425/2026	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2226	hChikV/Kenya/AFI-LAM-2226/2025	11721	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2291	AFI-LAM-2291	3648	10	0.3	EXCLUDE (fragment)	Short fragment; below near-complete threshold
AFI-LAM-2364	AFI-LAM-2364	1846	26	1.4	EXCLUDE (fragment)	Short fragment; below near-complete threshold
AFI-LAM-2366	hChikV/Kenya/AFI-LAM-2366/2025	11610	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2372	AFI-LAM-2372	2012	24	1.2	EXCLUDE (fragment)	Short fragment; below near-complete threshold
AFI-LAM-2381	AFI-LAM-2381	7518	99	1.3	EXCLUDE (fragment)	Short fragment; below near-complete threshold
AFI-LAM-2388	hChikV/Kenya/AFI-LAM-2388/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2389	hChikV/Kenya/AFI-LAM-2389/2025	11739	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2444	hChikV/Kenya/AFI-LAM-2444/2025	11543	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2446	hChikV/Kenya/AFI-LAM-2446/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2450	hChikV/Kenya/AFI-LAM-2450/2025	11763	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2451	hChikV/Kenya/AFI-LAM-2451/2025	11791	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2452	hChikV/Kenya/AFI-LAM-2452/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2453	hChikV/Kenya/AFI-LAM-2453/2025	11786	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2455	hChikV/Kenya/AFI-LAM-2455/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2456	hChikV/Kenya/AFI-LAM-2456/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2458	AFI-LAM-2458	11826	10624	89.8	DROP	"Heavy N-padding"
AFI-LAM-2463	hChikV/Kenya/AFI-LAM-2463/2025	11703	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2610	AFI-LAM-2610	11809	0	0	KEEP	"11840bp/0N (amended 11840bp/3N, 99.97%)"
AFI-LAM-2612	hChikV/Kenya/AFI-LAM-2612/2025	11772	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2613	hChikV/Kenya/AFI-LAM-2613/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2614	hChikV/Kenya/AFI-LAM-2614/2025	11838	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2685	hChikV/Kenya/AFI-LAM-2685/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2726	hChikV/Kenya/AFI-LAM-2726/2025	11839	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2728	hChikV/Kenya/AFI-LAM-2728/2025	11626	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2786	hChikV/Kenya/AFI-LAM-2786/2025	11802	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2811	AFI-LAM-2811	11480	0	0	KEEP	"near-complete (11480bp/0N)"
AFI-LAM-2812	hChikV/Kenya/AFI-LAM-2812/2026	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2825	hChikV/Kenya/AFI-LAM-2825/2026	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2901	hChikV/Kenya/AFI-LAM-2901/2026	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-2954	hChikV/Kenya/AFI-LAM-2954/2026	11537	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LAM-3105	AFI-LAM-3105	11838	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3118	AFI-LAM-3118	11625	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3121	AFI-LAM-3121	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3128	AFI-LAM-3128	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3139	AFI-LAM-3139	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3146	AFI-LAM-3146	11705	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3150	AFI-LAM-3150	11586	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3151	AFI-LAM-3151	8923	2543	28.5	EXCLUDE (partial/low depth)	"Top-level consensus 8923bp, 0N, Amended consensus is 28.5% outside range"
AFI-LAM-3157	AFI-LAM-3157	11413	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3162	AFI-LAM-3162	11677	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3166	AFI-LAM-3166	11837	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3167	AFI-LAM-3167	11717	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3168	AFI-LAM-3168	11792	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3173	AFI-LAM-3173	11747	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LAM-3179	AFI-LAM-3179	11730	0	0	KEEP	"Trusted, GenBank-submitted (SUB16416954)"
AFI-LKN-039	AFI-LKN-039	10388	142	1.4	DROP	"10255bp/1N but amended (support/quality-masked) consensus is 99.7% N (10220/10255)"
AFI-LKN-053	hChikV/Kenya/AFI-LKN-053/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-086	AFI-LKN-086	11010	1	0	KEEP	"queue GenBank"
AFI-LKN-088	hChikV/Kenya/AFI-LKN-088/2025	11827	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-089	hChikV/Kenya/AFI-LKN-089/2025	11432	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-097	hChikV/Kenya/AFI-LKN-097/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-138	hChikV/Kenya/AFI-LKN-138/2025	11714	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-139	hChikV/Kenya/AFI-LKN-139/2025	11723	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-141	hChikV/Kenya/AFI-LKN-141/2025	11839	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-144	hChikV/Kenya/AFI-LKN-144/2025	11627	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-146	hChikV/Kenya/AFI-LKN-146/2025	11828	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-147	hChikV/Kenya/AFI-LKN-147/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-149	hChikV/Kenya/AFI-LKN-149/2025	11843	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-150	hChikV/Kenya/AFI-LKN-150/2025	11841	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-151	AFI-LKN-151	3017	56	1.9	EXCLUDE (fragment)	"Short fragment; below near-complete threshold"
AFI-LKN-152	hChikV/Kenya/AFI-LKN-152/2025	11533	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-153	hChikV/Kenya/AFI-LKN-153/2025	11761	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-154	hChikV/Kenya/AFI-LKN-154/2025	11624	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-155	hChikV/Kenya/AFI-LKN-155/2025	11604	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-156	hChikV/Kenya/AFI-LKN-156/2025	11716	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-157	hChikV/Kenya/AFI-LKN-157/2025	11584	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-158	AFI-LKN-158	3117	69	2.2	EXCLUDE (fragment)	"Short fragment; below near-complete threshold"
AFI-LKN-160	hChikV/Kenya/AFI-LKN-160/2025	11631	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-161	hChikV/Kenya/AFI-LKN-161/2025	11670	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-162	hChikV/Kenya/AFI-LKN-162/2025	11655	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-164	hChikV/Kenya/AFI-LKN-164/2025	11627	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-166	hChikV/Kenya/AFI-LKN-166/2025	11843	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-167	hChikV/Kenya/AFI-LKN-167/2025	11703	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-169	hChikV/Kenya/AFI-LKN-169/2025	11619	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-170	hChikV/Kenya/AFI-LKN-170/2025	11840	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-171	hChikV/Kenya/AFI-LKN-171/2025	11630	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-172	hChikV/Kenya/AFI-LKN-172/2025	11845	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-173	hChikV/Kenya/AFI-LKN-173/2025	11711	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-174	hChikV/Kenya/AFI-LKN-174/2025	11728	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-175	hChikV/Kenya/AFI-LKN-175/2025	11734	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-176	hChikV/Kenya/AFI-LKN-176/2025	11751	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-177	hChikV/Kenya/AFI-LKN-177/2025	11835	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-180	AFI-LKN-180	8119	8	0.1	EXCLUDE (partial)	"IRMA-confirmed but <8000bp in both pipelines; document only"
AFI-LKN-181	hChikV/Kenya/AFI-LKN-181/2025	11593	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
AFI-LKN-182	hChikV/Kenya/AFI-LKN-182/2025	11626	0	0	KEEP	"Trusted, GenBank-submitted (SUB16345942)"
